Quando;Dia da Semana;Tipo;Descricao/Lancamento;Credito;Debito;Mes;Ano;Mes/Ano;Origem
16-01-2023;Segunda-Feira;Itens Pesssoais;Òculos Novos (03/04);0,0;204,12;'01;'2023;'01/2023;NUBank_Master
16-01-2023;Segunda-Feira;Juros_Corr. Poupança;Juros e Corração no Periodo ;0,09;0,0;'01;'2023;'01/2023;Nubank_ContaC
16-01-2023;Segunda-Feira;Financiamento Banco;Parc. Financiamento NuBank - 2022/2024 (08/24);0,0;710,54;'01;'2023;'01/2023;Nubank_ContaC
15-01-2023;Domingo;Tv à Cabo;Net TV;0,0;147,35;'01;'2023;'01/2023;ItaU
15-01-2023;Domingo;Internet;Net Virtua;0,0;143,43;'01;'2023;'01/2023;ItaU
15-01-2023;Domingo;Telefonia;Net Fone - Serviços eventuais;0,0;0,0;'01;'2023;'01/2023;ItaU
15-01-2023;Domingo;Pedágios;Sistema Sem Parar;0,0;221,52;'01;'2023;'01/2023;ItaU
15-01-2023;Domingo;Estacionamentos;Sistema Sem Parar - estacionamento: Peugeot 208;0,0;0,0;'01;'2023;'01/2023;ItaU
15-01-2023;Domingo;Estacionamentos;Sistema Sem Parar - estacionamento: ecosport;0,0;0,0;'01;'2023;'01/2023;ItaU
15-01-2023;Domingo;Telefonia;Fatura Claro Celular;0,0;54,88;'01;'2023;'01/2023;ItaU
15-01-2023;Domingo;Telefonia;Débito Automático:Fatura Claro Celular;0,0;54,88;'01;'2023;'01/2023;ItaU
14-01-2023;Sábado;Restaurantes;iFood: Tacco & Bellss;0,0;53,89;'01;'2023;'01/2023;ItaU
13-01-2023;Sexta-Feira;Ford Ecosport XLT;IPVA 2023 (01/05) ;0,0;248,19;'01;'2023;'01/2023;ItaU
13-01-2023;Sexta-Feira;Cristiane;Implantes Hormonais (02/02);0,0;450,0;'01;'2023;'01/2023;CrediCard_Master
11-01-2023;Quarta-Feira;Juros_Corr. Poupança;Juros e correção no perido;0,01;0,0;'01;'2023;'01/2023;ItaU
11-01-2023;Quarta-Feira;Restaurantes;iFood: Dom Forny;0,0;70,0;'01;'2023;'01/2023;ItaU
10-01-2023;Terça-Feira;Maçonaria;Maçonaria - Contribuição Mensal - Janeiro/2023;0,0;210,0;'01;'2023;'01/2023;ItaU
10-01-2023;Terça-Feira;Documentos;Cartão TOP BOM ;0,0;22,3;'01;'2023;'01/2023;ItaU
10-01-2023;Terça-Feira;Juros_Corr. Poupança;Juros e Corração no Periodo ;0,2;0,0;'01;'2023;'01/2023;Nubank_ContaC
09-01-2023;Segunda-Feira;Moradia;Agua Mineral em 16/12/2022;0,0;14,0;'01;'2023;'01/2023;ItaU
09-01-2023;Segunda-Feira;Juros_Corr. Poupança;Juros e correção no perido;0,02;0,0;'01;'2023;'01/2023;ItaU
09-01-2023;Segunda-Feira;Metro;Trabalho: Top App ;0,0;8,8;'01;'2023;'01/2023;Nubank_ContaC
09-01-2023;Segunda-Feira;Online Services;Assinatura Anual PSN+;0,0;249,9;'01;'2023;'01/2023;XP_Inv_Visa
09-01-2023;Segunda-Feira;Taxas Bancarias;IOF PSN+;0,0;0,95;'01;'2023;'01/2023;XP_Inv_Visa
07-01-2023;Sábado;Itens Pesssoais;Cortar os cabelos no Bunker do Centro;0,0;30,0;'01;'2023;'01/2023;ItaU
07-01-2023;Sábado;Informática;Pilhas/ canbos e diversos;0,0;21,96;'01;'2023;'01/2023;ItaU
07-01-2023;Sábado;Estacionamentos;Estacionamento no centro ;0,0;9,0;'01;'2023;'01/2023;ItaU
06-01-2023;Sexta-Feira;Taxas Bancarias;Seguro LIS Itau;0,0;2,0;'01;'2023;'01/2023;ItaU
05-01-2023;Quinta-Feira;Taxas Bancarias;Juros de uso do limite da conta corrente ;0,0;8,8;'01;'2023;'01/2023;ItaU
05-01-2023;Quinta-Feira;Playstation 5;Amazon.com.br: PlayStation®5 + God of War Ragnarök CFI-1214A (02/10);0,0;479,99;'01;'2023;'01/2023;CrediCard_Master
04-01-2023;Quarta-Feira;Action Figures;Estrela.com.br: Condor 2023 Reissued;0,0;308,49;'01;'2023;'01/2023;XP_Inv_Visa
03-01-2023;Terça-Feira;Taxas Bancarias;IOF no periodo ;0,0;4,98;'01;'2023;'01/2023;ItaU
03-01-2023;Terça-Feira;Juros_Corr. Poupança;Juros e correção no perido;0,03;0,0;'01;'2023;'01/2023;ItaU
03-01-2023;Terça-Feira;Taxas Bancarias;TAR COMUNICACAO DIGITAL;0,0;5,9;'01;'2023;'01/2023;ItaU
03-01-2023;Terça-Feira;Juros_Corr. Poupança;Juros e Corração no Periodo ;0,77;0,0;'01;'2023;'01/2023;Nubank_ContaC
02-01-2023;Segunda-Feira;cartões de Crédito;Fatura XP Visa;0,0;436,65;'01;'2023;'01/2023;ItaU
02-01-2023;Segunda-Feira;cartões de Crédito;Fatura NuBank Master;0,0;401,97;'01;'2023;'01/2023;ItaU
02-01-2023;Segunda-Feira;cartões de Crédito;Fatura CrediCard Masters;0,0;2703,55;'01;'2023;'01/2023;ItaU
02-01-2023;Segunda-Feira;cartões de Crédito;Fatura Magalu Visa;0,0;56,46;'01;'2023;'01/2023;ItaU
02-01-2023;Segunda-Feira;Gás de cozinha;Fatura ComGás;0,0;66,07;'01;'2023;'01/2023;ItaU
02-01-2023;Segunda-Feira;Transf. Bco;PIX: Para o NuBank;0,0;2200,0;'01;'2023;'01/2023;ItaU
02-01-2023;Segunda-Feira;Juros_Corr. Poupança;Juros e correção no perido;0,01;0,0;'01;'2023;'01/2023;ItaU
02-01-2023;Segunda-Feira;cartões de Crédito;Pagamento de Fatura;56,46;0,0;'01;'2023;'01/2023;MagaLu_Visa_Plat
02-01-2023;Segunda-Feira;cartões de Crédito;Pagamento de Fatura ;2703,55;0,0;'01;'2023;'01/2023;CrediCard_Master
02-01-2023;Segunda-Feira;Transf. Bco;PIX: Do Itau;2200,0;0,0;'01;'2023;'01/2023;Nubank_ContaC
02-01-2023;Segunda-Feira;cartões de Crédito;Pagamento de Fatura;436,65;0,0;'01;'2023;'01/2023;XP_Inv_Visa
01-01-2023;Domingo;cartões de Crédito;Pagamento de Fatura;401,97;0,0;'01;'2023;'01/2023;NUBank_Master
31-12-2022;Sábado;GATO;Areia de coco do Shiro ;0,0;7,25;'12;'2022;'12/2022;ItaU
31-12-2022;Sábado;Combustivel;Gazzozza no PejôGGM5;0,0;148,61;'12;'2022;'12/2022;ItaU
31-12-2022;Sábado;Supermercado;Bebidas no Nicolau ferreira de PiraJus;0,0;289,4;'12;'2022;'12/2022;ItaU
31-12-2022;Sábado;Supermercado;Dadinhos na campineira em pirajus;0,0;25,0;'12;'2022;'12/2022;ItaU
31-12-2022;Sábado;Itens Pesssoais;MercadoLivre.com.br: Capa Case Translucida Magsafe Para iPhone 13 / 13 Pro Max;0,0;79,34;'12;'2022;'12/2022;XP_Inv_Visa
30-12-2022;Sexta-Feira;Salarios;Claro Brasil S/A;7855,68;0,0;'12;'2022;'12/2022;ItaU
30-12-2022;Sexta-Feira;Online Services;Assinatura Mensal HBO Max;0,0;13,95;'12;'2022;'12/2022;NUBank_Master
30-12-2022;Sexta-Feira;GATO;Tratamento Jade (05/10);0,0;121,1;'12;'2022;'12/2022;NUBank_Master
29-12-2022;Quinta-Feira;Playstation 4;Games:Alex Kidd in Miracle World DX;0,0;33,83;'12;'2022;'12/2022;XP_Inv_Visa
29-12-2022;Quinta-Feira;Playstation 4;Games: Anthem™ Edição Standard;0,0;6,29;'12;'2022;'12/2022;XP_Inv_Visa
29-12-2022;Quinta-Feira;Playstation 4;Games:DOOM Eternal Standard Edition;0,0;49,87;'12;'2022;'12/2022;XP_Inv_Visa
29-12-2022;Quinta-Feira;Playstation 4;Games:DOOM;0,0;17,87;'12;'2022;'12/2022;XP_Inv_Visa
29-12-2022;Quinta-Feira;Taxas Bancarias;IOF;0,0;0,41;'12;'2022;'12/2022;XP_Inv_Visa
28-12-2022;Quarta-Feira;Online Services;Assinatura Mensal Netflix (2 Telas FullHD);0,0;39,9;'12;'2022;'12/2022;CrediCard_Master
28-12-2022;Quarta-Feira;Itens Pesssoais;Apple iPhone 13 128GB Meia-noite + carregador 20w (08/10);0,0;599,46;'12;'2022;'12/2022;CrediCard_Master
28-12-2022;Quarta-Feira;Online Services;Assinatura Mensal do Spotfy Familiar (5 Acessos) ;0,0;34,9;'12;'2022;'12/2022;NUBank_Master
28-12-2022;Quarta-Feira;Online Services;Assinatura Mensal Disney Plus ;0,0;27,9;'12;'2022;'12/2022;NUBank_Master
27-12-2022;Terça-Feira;Supermercado;O Nicolau Ferreira M.A.X.;0,0;80,29;'12;'2022;'12/2022;ItaU
27-12-2022;Terça-Feira;GATO;Veterinária Mascote Piraju (01/12);0,0;248,26;'12;'2022;'12/2022;NUBank_Master
26-12-2022;Segunda-Feira;P208 GRIFFE 1.6 AUT BUSINESS;Revisão 4Anos 30K Peugeot GGM5 (03/06);0,0;335,62;'12;'2022;'12/2022;CrediCard_Master
25-12-2022;Domingo;Playstation 4;Mercadolivre.com.br: Disco sólido interno Crucial CT1000BX500SSD1 1TB (02/06);0,0;89,1;'12;'2022;'12/2022;CrediCard_Master
25-12-2022;Domingo;ESTORNO;Mercadolivre.com.br: Disco sólido interno Crucial CT1000BX500SSD1 1TB;0,25;0,0;'12;'2022;'12/2022;CrediCard_Master
24-12-2022;Sábado;Informática;AliExpress.com: Lampada 50cm de monitor para Playar Games;0,0;95,9;'12;'2022;'12/2022;CrediCard_Master
24-12-2022;Sábado;Informática;HomeOffice: MercdoLIvre.com.br: Mouse Pad Gigante 90x40;0,0;75,66;'12;'2022;'12/2022;XP_Inv_Visa
23-12-2022;Sexta-Feira;vestuário;Chinelas HAvaianas Powers de Pirajus;0,0;75,16;'12;'2022;'12/2022;ItaU
23-12-2022;Sexta-Feira;GATO;Pazinha de coletar coco de gatos;0,0;11,0;'12;'2022;'12/2022;ItaU
23-12-2022;Sexta-Feira;Farmácia;Tylenois Sinuses;0,0;48,95;'12;'2022;'12/2022;ItaU
23-12-2022;Sexta-Feira;Online Services;iCloud+ 50GB Mensal ;0,0;3,5;'12;'2022;'12/2022;CrediCard_Master
22-12-2022;Quinta-Feira;Combustivel;No Peugeot GGM5 pra Viajar;0,0;203,09;'12;'2022;'12/2022;ItaU
22-12-2022;Quinta-Feira;Supermercado;A coop de São caetano do sul ;0,0;203,1;'12;'2022;'12/2022;ItaU
22-12-2022;Quinta-Feira;Farmácia;remedios de pressão;0,0;16,35;'12;'2022;'12/2022;ItaU
22-12-2022;Quinta-Feira;Taxas Bancarias;ENVIO MENS.AUTOMATICA;0,0;6,99;'12;'2022;'12/2022;CrediCard_Master
21-12-2022;Quarta-Feira;Energia Eletrica;Fatura enel - Dezembro - 2022;0,0;301,37;'12;'2022;'12/2022;ItaU
21-12-2022;Quarta-Feira;Playstation 4;Games: MercadoLivre.com.br: The Last Of US II;0,0;99,0;'12;'2022;'12/2022;XP_Inv_Visa
21-12-2022;Quarta-Feira;Playstation 3;Games: Mercadolivre.com.br: Tomb Raider Under World;0,0;73,99;'12;'2022;'12/2022;XP_Inv_Visa
21-12-2022;Quarta-Feira;Playstation 3;Games: Mercadolivre.com.br: devil May Cry 4;0,0;73,99;'12;'2022;'12/2022;XP_Inv_Visa
20-12-2022;Terça-Feira;Salarios;Restante 13º salario claro ;1541,13;0,0;'12;'2022;'12/2022;ItaU
20-12-2022;Terça-Feira;Aluguel;Aluguel BS House + Taxas (22/30);0,0;1548,84;'12;'2022;'12/2022;Nubank_ContaC
20-12-2022;Terça-Feira;IPTU;IPTU Del Piano (22/30);0,0;34,5;'12;'2022;'12/2022;Nubank_ContaC
20-12-2022;Terça-Feira;Condominio;Condominio Del Piano;0,0;616,37;'12;'2022;'12/2022;Nubank_ContaC
19-12-2022;Segunda-Feira;Telefonia;Fatura Vivo Celular;0,0;66,4;'12;'2022;'12/2022;ItaU
19-12-2022;Segunda-Feira;Supermercado;No mercadinho do predio ;0,0;37,37;'12;'2022;'12/2022;ItaU
18-12-2022;Domingo;Restaurantes;The Burgues 4 You;0,0;132,44;'12;'2022;'12/2022;ItaU
18-12-2022;Domingo;Cristiane;iFood: Japoneis ;0,0;34,97;'12;'2022;'12/2022;CrediCard_Master
18-12-2022;Domingo;GATO;MercadoLivre.com.br: Coleira Peitoral Cães Pequenos Filhotes Pinscher Shin Tzu;0,0;82,53;'12;'2022;'12/2022;XP_Inv_Visa
17-12-2022;Sábado;Restituições;Mercadolivre.com.br: DmC4 +TR:UW;147,98;0,0;'12;'2022;'12/2022;ItaU
17-12-2022;Sábado;Restaurantes;Sodiê no centro ;0,0;35,64;'12;'2022;'12/2022;ItaU
17-12-2022;Sábado;Estacionamentos;Estacionamento no centro ;0,0;13,0;'12;'2022;'12/2022;ItaU
17-12-2022;Sábado;Supermercado;O Dia %% Alegre ;0,0;322,38;'12;'2022;'12/2022;ItaU
17-12-2022;Sábado;GATO;Ração Seca/ Pate/ Vermifugo e pasta de comer;0,0;129,45;'12;'2022;'12/2022;ItaU
17-12-2022;Sábado;Restaurantes;iFood: Don Forny;0,0;76,0;'12;'2022;'12/2022;ItaU
16-12-2022;Sexta-Feira;Restaurantes;iFood: Super Pizza/ PÃNNN!!!;0,0;111,38;'12;'2022;'12/2022;ItaU
16-12-2022;Sexta-Feira;vestuário;Maçonaria: Terno novo (03/06);0,0;236,22;'12;'2022;'12/2022;CrediCard_Master
16-12-2022;Sexta-Feira;Itens Pesssoais;Òculos Novos (02/04);0,0;204,12;'12;'2022;'12/2022;NUBank_Master
16-12-2022;Sexta-Feira;Financiamento Banco;Parc. Financiamento NuBank - 2022/2024 (07/24);0,0;710,54;'12;'2022;'12/2022;Nubank_ContaC
15-12-2022;Quinta-Feira;Farmácia;Symbicort 12/400/ Busonid/ dorflex e Pastilha de azias;0,0;161,35;'12;'2022;'12/2022;ItaU
15-12-2022;Quinta-Feira;Combustivel;Trabalho: Gazzozza no pejõ ggm5;0,0;100,0;'12;'2022;'12/2022;ItaU
15-12-2022;Quinta-Feira;Cristiane;Restituição de compra do ML;100,16;0,0;'12;'2022;'12/2022;ItaU
15-12-2022;Quinta-Feira;Estacionamentos;Trabalho: The Urban Park Alex dumas 1630;0,0;10,0;'12;'2022;'12/2022;ItaU
15-12-2022;Quinta-Feira;Tv à Cabo;Net TV;0,0;147,35;'12;'2022;'12/2022;ItaU
15-12-2022;Quinta-Feira;Internet;Net Virtua;0,0;143,43;'12;'2022;'12/2022;ItaU
15-12-2022;Quinta-Feira;Telefonia;Net Fone - Serviços eventuais;0,0;0,0;'12;'2022;'12/2022;ItaU
15-12-2022;Quinta-Feira;Pedágios;Sistema Sem Parar;0,0;75,72;'12;'2022;'12/2022;ItaU
15-12-2022;Quinta-Feira;Estacionamentos;Sistema Sem Parar - estacionamento: Peugeot 208;0,0;13,0;'12;'2022;'12/2022;ItaU
15-12-2022;Quinta-Feira;Estacionamentos;Sistema Sem Parar - estacionamento: ecosport;0,0;0,0;'12;'2022;'12/2022;ItaU
15-12-2022;Quinta-Feira;Telefonia;Fatura Claro Celular;0,0;59,8;'12;'2022;'12/2022;ItaU
14-12-2022;Quarta-Feira;Taxi;Uber: pra ir pegar o kit natal;0,0;16,95;'12;'2022;'12/2022;ItaU
14-12-2022;Quarta-Feira;Taxi;Uber: pra voltar pra Verbo Divino 1356;0,0;26,98;'12;'2022;'12/2022;ItaU
14-12-2022;Quarta-Feira;Estacionamentos;Trabalho: The Urban Park Alex dumas 1630;0,0;10,0;'12;'2022;'12/2022;ItaU
14-12-2022;Quarta-Feira;Restaurantes;iFood: The Burgues Gallery ;0,0;102,5;'12;'2022;'12/2022;Nubank_ContaC
13-12-2022;Terça-Feira;Cristiane;Implantes Hormonais (01/02);0,0;450,0;'12;'2022;'12/2022;CrediCard_Master
12-12-2022;Segunda-Feira;Playstation 3;Games: Mercadolivre.com.br: Tomb Raider Under World;0,0;73,99;'12;'2022;'12/2022;ItaU
12-12-2022;Segunda-Feira;Playstation 3;Games: Mercadolivre.com.br: devil May Cry 4;0,0;73,99;'12;'2022;'12/2022;ItaU
12-12-2022;Segunda-Feira;Estacionamentos;Trabalho: The Urban Park Alex dumas 1630;0,0;10,0;'12;'2022;'12/2022;ItaU
12-12-2022;Segunda-Feira;Juros_Corr. Poupança;Juros e correção no perido;0,02;0,0;'12;'2022;'12/2022;ItaU
12-12-2022;Segunda-Feira;Cristiane;MercadoLIvre.com.br;0,0;100,16;'12;'2022;'12/2022;CrediCard_Master
12-12-2022;Segunda-Feira;Cristiane;MercadoLIvre.com.br;0,0;99,98;'12;'2022;'12/2022;CrediCard_Master
11-12-2022;Domingo;Supermercado;A coop de da Industial de San Adread;0,0;353,19;'12;'2022;'12/2022;ItaU
11-12-2022;Domingo;Playstation 4;Games: METAL GEAR SOLID V: THE DEFINITIVE EXPERIENCE;0,0;16,7;'12;'2022;'12/2022;XP_Inv_Visa
11-12-2022;Domingo;Taxas Bancarias;PS4: IOF;0,0;0,06;'12;'2022;'12/2022;XP_Inv_Visa
10-12-2022;Sábado;Lavanderia;Maçonaria: Lavar camisas 5 a sec;0,0;64,0;'12;'2022;'12/2022;ItaU
10-12-2022;Sábado;Maçonaria;Maçonaria - Contribuição Mensal - Dezembro/2022;0,0;200,0;'12;'2022;'12/2022;ItaU
10-12-2022;Sábado;Restaurantes;iFood: don Formy;0,0;76,0;'12;'2022;'12/2022;ItaU
10-12-2022;Sábado;Online Services;Assinatura Anual Amazon Prime;0,0;119,0;'12;'2022;'12/2022;CrediCard_Master
09-12-2022;Sexta-Feira;Moradia;PIX: Agua Mineral;0,0;14,0;'12;'2022;'12/2022;ItaU
09-12-2022;Sexta-Feira;Transf. Bco;PIX: PARA A CONTA Itau ITI;0,0;0,93;'12;'2022;'12/2022;ItaU
09-12-2022;Sexta-Feira;Estacionamentos;Maçonaria: Tres Ponos;0,0;15,0;'12;'2022;'12/2022;ItaU
09-12-2022;Sexta-Feira;Restaurantes;Maçonaria: Pedra Bruta;0,0;18,7;'12;'2022;'12/2022;ItaU
09-12-2022;Sexta-Feira;Transf. Bco;PIX: Do Itau ;0,93;0,0;'12;'2022;'12/2022;ITI_Itau_CC
08-12-2022;Quinta-Feira;Combustivel;Trabalho: Gazozza no Pejô GGM5;0,0;150,0;'12;'2022;'12/2022;ItaU
08-12-2022;Quinta-Feira;Restaurantes;Trabalho: GoCoffe;0,0;16,7;'12;'2022;'12/2022;ItaU
08-12-2022;Quinta-Feira;Estacionamentos;Trabalho: The Urban Park Alex dumas 1630;0,0;10,0;'12;'2022;'12/2022;ItaU
08-12-2022;Quinta-Feira;Juros_Corr. Poupança;Juros e correção no perido;0,03;0,0;'12;'2022;'12/2022;ItaU
07-12-2022;Quarta-Feira;Estacionamentos;Trabalho: The Urban Park Alex dumas 1630;0,0;10,0;'12;'2022;'12/2022;ItaU
07-12-2022;Quarta-Feira;GATO;Areia sanitárias ;0,0;33,0;'12;'2022;'12/2022;ItaU
06-12-2022;Terça-Feira;Taxas Bancarias;Seguro LIS Itau;0,0;2,0;'12;'2022;'12/2022;ItaU
06-12-2022;Terça-Feira;Restaurantes;Pasteis na feira perto de casa;0,0;40,0;'12;'2022;'12/2022;ItaU
06-12-2022;Terça-Feira;Playstation 3;AliXpress.com: 4 pces 40x20mm alumínio de alta fidelidade amp alto-falante isolamento suporte plataforma giratória dac pés almofada ouro prata preto];0,0;56,46;'12;'2022;'12/2022;MagaLu_Visa_Plat
05-12-2022;Segunda-Feira;Taxas Bancarias;JUROS LIMITE DA CONTA;0,0;12,2;'12;'2022;'12/2022;ItaU
05-12-2022;Segunda-Feira;Ford Ecosport XLT;Limpador de parabrisas;0,0;96,0;'12;'2022;'12/2022;ItaU
05-12-2022;Segunda-Feira;Playstation 5;Amazon.com.br: PlayStation®5 + God of War Ragnarök CFI-1214A (01/10);0,0;479,99;'12;'2022;'12/2022;CrediCard_Master
04-12-2022;Domingo;Supermercado;A coop da instustrial de San Adreas;0,0;182,49;'12;'2022;'12/2022;ItaU
02-12-2022;Sexta-Feira;Transf. Bco;PIX: Para o NuBank;0,0;3099,71;'12;'2022;'12/2022;ItaU
