2023/01/09 14:24:38| Started|2023/01/09 14:24:39| Ended
2023/01/26 10:43:09| Started|2023/01/26 10:44:21| Ended
2023/01/26 15:31:52| Started|2023/01/26 15:33:07| Ended
2023/01/26 19:48:57| Started|2023/01/26 19:51:39| Ended
2023/01/27 09:01:21| Started|2023/01/27 09:03:41| Ended
2023/01/27 09:24:11| Started|2023/01/27 09:25:14| Ended
2023/01/27 10:04:26| Started|2023/01/27 10:05:37| Ended
2023/01/27 10:10:07| Started|2023/01/27 10:11:17| Ended
2023/01/27 10:14:41| Started|2023/01/27 10:16:03| Ended
2023/01/27 10:20:54| Started|2023/01/27 10:21:00| Ended
2023/01/27 11:05:29| Started|2023/01/27 11:06:31| Ended
2023/01/27 11:20:15| Started|2023/01/27 11:21:20| Ended
2023/01/27 11:27:52| Started|2023/01/27 11:29:03| Ended
2023/01/27 14:18:04| Started|2023/01/27 14:19:23| Ended
2023/01/27 14:55:39| Started|2023/01/27 14:57:10| Ended
2023/01/28 10:24:26| Started|2023/01/28 10:25:49| Ended
2023/01/28 19:21:24| Started|2023/01/28 19:22:32| Ended
2023/01/29 11:53:20| Started|2023/01/29 11:54:15| Ended
2023/01/30 09:18:40| Started|2023/01/30 09:19:38| Ended
2023/01/30 12:01:34| Started|2023/01/30 12:01:41| Ended
2023/01/30 12:01:56| Started|2023/01/30 12:03:08| Ended
2023/01/31 10:25:07| Started|2023/01/31 10:26:19| Ended
2023/01/31 11:18:37| Started|2023/01/31 11:19:48| Ended
2023/01/31 11:41:50| Started|2023/01/31 11:42:45| Ended
2023/01/31 11:43:29| Started|2023/01/31 11:44:32| Ended
2023/01/31 11:56:44| Started|2023/01/31 11:58:01| Ended
2023/01/31 11:59:50| Started|2023/01/31 12:00:53| Ended
2023/01/31 14:07:28| Started|2023/01/31 14:08:32| Ended
2023/01/31 15:00:06| Started|2023/01/31 15:01:04| Ended
2023/01/31 20:18:48| Started|2023/01/31 20:19:48| Ended
2023/01/31 22:26:09| Started|2023/01/31 22:27:15| Ended
2023/01/31 22:32:18| Started|2023/01/31 22:33:22| Ended
2023/02/01 08:57:06| Started|2023/02/01 08:58:36| Ended
2023/02/01 17:44:31| Started|2023/02/01 17:46:31| Ended
2023/02/01 18:02:09| Started|2023/02/01 18:03:18| Ended
2023/02/01 18:43:01| Started|2023/02/01 18:43:09| Ended
2023/02/01 18:46:30| Started|2023/02/01 18:47:42| Ended
2023/02/01 18:50:52| Started|2023/02/01 18:51:54| Ended
2023/02/02 09:24:27| Started|2023/02/02 09:25:42| Ended
2023/02/02 12:14:27| Started|2023/02/02 12:15:33| Ended
2023/02/02 12:19:48| Started|2023/02/02 12:20:54| Ended
2023/02/02 13:48:09| Started|2023/02/02 13:49:08| Ended
2023/02/02 13:53:07| Started|2023/02/02 13:53:59| Ended
2023/02/02 13:55:31| Started|2023/02/02 13:56:32| Ended
2023/02/02 14:36:23| Started|2023/02/02 14:36:31| Ended
2023/02/02 17:33:55| Started|2023/02/02 17:34:59| Ended
2023/02/02 23:22:14| Started|2023/02/02 23:23:13| Ended
2023/02/03 08:44:12| Started|2023/02/03 08:45:16| Ended
2023/02/03 09:15:58| Started|2023/02/03 09:17:04| Ended
2023/02/03 12:14:09| Started|2023/02/03 12:15:30| Ended
2023/02/03 15:18:54| Started|2023/02/03 15:19:53| Ended
2023/02/03 16:31:21| Started|2023/02/03 16:32:20| Ended
2023/02/03 17:04:47| Started|2023/02/03 17:05:52| Ended
2023/02/03 17:09:38| Started|2023/02/03 17:10:42| Ended
2023/02/03 17:20:51| Started|2023/02/03 17:22:15| Ended
2023/02/03 17:27:28| Started|2023/02/03 17:28:41| Ended
2023/02/05 11:57:01| Started|2023/02/05 11:58:05| Ended
2023/02/05 12:35:50| Started|2023/02/05 12:36:58| Ended
2023/02/05 19:00:55| Started|2023/02/05 19:01:52| Ended
2023/02/06 09:49:40| Started|2023/02/06 09:50:49| Ended
2023/02/06 16:08:53| Started|2023/02/06 16:10:21| Ended
2023/02/06 22:42:48| Started|2023/02/06 22:44:13| Ended
2023/02/07 10:49:07| Started|2023/02/07 10:50:15| Ended
2023/02/07 16:52:26| Started|2023/02/07 16:54:02| Ended
2023/02/08 10:24:05| Started|2023/02/08 10:25:17| Ended
2023/02/09 11:08:05| Started|2023/02/09 11:09:37| Ended
2023/02/09 19:50:37| Started|2023/02/09 19:51:47| Ended
2023/02/10 09:01:55| Started|2023/02/10 09:03:02| Ended
2023/02/10 17:29:07| Started|2023/02/10 17:31:05| Ended
2023/02/11 18:18:52| Started|2023/02/11 18:19:56| Ended
2023/02/11 19:53:50| Started|2023/02/11 19:54:57| Ended
2023/02/11 23:20:14| Started|2023/02/11 23:21:24| Ended
2023/02/11 23:32:38| Started|2023/02/11 23:33:53| Ended
2023/02/11 23:43:22| Started|2023/02/11 23:44:53| Ended
2023/02/12 15:09:09| Started|2023/02/12 15:11:56| Ended
2023/02/12 20:33:49| Started|2023/02/12 20:34:57| Ended
2023/02/12 20:56:48| Started|2023/02/12 20:58:04| Ended
2023/02/13 10:12:29| Started|2023/02/13 10:13:58| Ended
2023/02/13 20:32:40| Started|2023/02/13 20:33:53| Ended
2023/02/14 17:45:41| Started|2023/02/14 17:47:52| Ended
2023/02/15 10:00:14| Started|2023/02/15 10:02:14| Ended
2023/02/15 15:58:39| Started|2023/02/15 16:00:57| Ended
2023/02/15 21:05:23| Started|2023/02/15 21:06:34| Ended
2023/02/16 09:33:21| Started|2023/02/16 09:34:30| Ended
2023/02/16 09:51:19| Started|2023/02/16 09:52:27| Ended
2023/02/16 11:29:54| Started|2023/02/16 11:32:07| Ended
2023/02/16 16:24:34| Started|2023/02/16 16:26:52| Ended
2023/02/16 21:00:49| Started|2023/02/16 21:01:47| Ended
2023/02/16 22:15:51| Started|2023/02/16 22:19:29| Ended
2023/02/17 09:03:09| Started|2023/02/17 09:05:08| Ended
2023/02/17 09:31:01| Started|2023/02/17 09:31:57| Ended
2023/02/17 09:45:58| Started|2023/02/17 09:47:14| Ended
2023/02/17 10:24:20| Started|2023/02/17 10:25:58| Ended
2023/02/17 17:26:45| Started|2023/02/17 17:27:48| Ended
2023/02/19 12:40:10| Started|2023/02/19 12:41:02| Ended
2023/02/19 19:08:52| Started|2023/02/19 19:09:59| Ended
2023/02/20 09:38:59| Started|2023/02/20 09:40:33| Ended
2023/02/20 09:43:35| Started|2023/02/20 09:45:20| Ended
2023/02/20 11:58:40| Started|2023/02/20 11:59:50| Ended
2023/02/20 12:50:44| Started|2023/02/20 12:53:04| Ended
2023/02/20 12:54:36| Started|2023/02/20 12:56:12| Ended
2023/02/22 11:49:40| Started|2023/02/22 11:51:02| Ended
2023/02/23 09:24:03| Started|2023/02/23 09:27:14| Ended
2023/02/23 22:00:52| Started|2023/02/23 22:02:07| Ended
2023/02/24 15:03:08| Started|2023/02/24 15:04:07| Ended
2023/02/25 19:41:47| Started|2023/02/25 19:43:02| Ended
2023/02/27 09:21:56| Started|2023/02/27 09:26:09| Ended
2023/02/27 12:10:06| Started|2023/02/27 12:11:27| Ended
2023/02/27 17:49:54| Started|2023/02/27 17:50:58| Ended
2023/02/27 20:29:07| Started|2023/02/27 20:30:30| Ended
2023/02/28 11:01:55| Started|2023/02/28 11:03:52| Ended
2023/02/28 16:25:30| Started|2023/02/28 16:26:31| Ended
2023/03/01 09:36:29| Started|2023/03/01 09:37:42| Ended
2023/03/01 11:13:18| Started|2023/03/01 11:15:15| Ended
2023/03/01 15:31:36| Started|2023/03/01 15:34:08| Ended
2023/03/01 20:50:17| Started|2023/03/01 20:55:34| Ended
2023/03/01 21:44:17| Started|2023/03/01 21:45:36| Ended
2023/03/02 10:21:35| Started|2023/03/02 10:22:45| Ended
2023/03/02 11:43:18| Started|2023/03/02 11:44:34| Ended
2023/03/02 15:26:12| Started|2023/03/02 15:27:15| Ended
2023/03/03 09:45:26| Started|2023/03/03 09:46:25| Ended
2023/03/03 13:27:50| Started|2023/03/03 13:28:46| Ended
2023/03/03 16:24:17| Started|2023/03/03 16:26:15| Ended
2023/03/03 16:35:20| Started|2023/03/03 16:38:07| Ended
2023/03/04 18:46:10| Started|2023/03/04 18:47:15| Ended
2023/03/05 19:23:31| Started|2023/03/05 19:24:38| Ended
2023/03/05 21:46:34| Started|2023/03/05 21:49:20| Ended
2023/03/06 09:19:11| Started|2023/03/06 09:22:51| Ended
2023/03/06 11:11:11| Started|2023/03/06 11:15:11| Ended
2023/03/06 16:49:03| Started|2023/03/06 16:51:15| Ended
2023/03/06 21:59:44| Started|2023/03/06 22:02:07| Ended
2023/03/07 09:39:58| Started|2023/03/07 09:40:50| Ended
2023/03/07 23:13:34| Started|2023/03/07 23:14:33| Ended
2023/03/08 11:15:14| Started|2023/03/08 11:18:54| Ended
2023/03/08 11:29:27| Started|2023/03/08 11:32:10| Ended| 162.77 TotalSecs
2023/03/08 15:30:00| Started|2023/03/08 15:32:07| Ended| 127.05 TotalSecs
2023/03/08 15:40:51| Started|2023/03/08 15:43:09| Ended| 138.08 TotalSecs
2023/03/08 20:24:59| Started|2023/03/08 20:26:00| Ended| 60.32 TotalSecs
2023/03/09 09:16:33| Started|2023/03/09 09:18:41| Ended| 127.85 TotalSecs
2023/03/09 09:27:19| Started|2023/03/09 09:28:09| Ended| 49.76 TotalSecs
2023/03/09 09:35:14| Started|2023/03/09 09:36:28| Ended| 73.42 TotalSecs
2023/03/09 20:28:58| Started|2023/03/09 20:29:55| Ended| 57.76 TotalSecs
2023/03/10 10:13:24| Started|2023/03/10 10:14:27| Ended| 62.52 TotalSecs
2023/03/10 15:30:36| Started|2023/03/10 15:31:28| Ended| 52.11 TotalSecs
2023/03/11 18:44:27| Started|2023/03/11 18:45:29| Ended| 62.46 TotalSecs
2023/03/12 17:21:18| Started|2023/03/12 17:22:28| Ended| 69.67 TotalSecs
2023/03/12 18:03:03| Started|2023/03/12 18:04:04| Ended| 61.42 TotalSecs
2023/03/12 20:39:47| Started|2023/03/12 20:41:50| Ended| 122.55 TotalSecs
2023/03/13 09:41:57| Started|2023/03/13 09:43:28| Ended| 91.06 TotalSecs
2023/03/13 11:38:06| Started|2023/03/13 11:40:59| Ended| 172.37 TotalSecs
2023/03/13 20:46:21| Started|2023/03/13 20:49:29| Ended| 188.07 TotalSecs
2023/03/14 09:59:54| Started|2023/03/14 10:01:51| Ended| 117.67 TotalSecs
2023/03/15 09:16:39| Started|2023/03/15 09:17:39| Ended| 59.33 TotalSecs
2023/03/15 15:05:10| Started|2023/03/15 15:06:11| Ended| 60.99 TotalSecs
2023/03/15 16:31:31| Started|2023/03/15 16:32:27| Ended| 56.52 TotalSecs
2023/03/15 21:43:45| Started|2023/03/15 21:44:39| Ended| 54.04 TotalSecs
2023/03/16 09:25:39| Started|2023/03/16 09:27:56| Ended| 137.10 TotalSecs
2023/03/16 11:07:03| Started|2023/03/16 11:11:51| Ended| 287.98 TotalSecs
2023/03/16 15:00:01| Started|2023/03/16 15:01:57| Ended| 116.13 TotalSecs
2023/03/16 20:28:33| Started|2023/03/16 20:29:37| Ended| 64.22 TotalSecs
2023/03/17 10:34:28| Started|2023/03/17 10:35:21| Ended| 52.63 TotalSecs
2023/03/17 18:20:20| Started|2023/03/17 18:21:24| Ended| 63.82 TotalSecs
2023/03/18 16:09:55| Started|2023/03/18 16:10:48| Ended| 53.16 TotalSecs
2023/03/18 21:55:13| Started|2023/03/18 21:56:05| Ended| 52.30 TotalSecs
2023/03/19 17:42:29| Started|2023/03/19 17:43:29| Ended| 60.68 TotalSecs
2023/03/20 09:01:20| Started|2023/03/20 09:03:55| Ended| 155.06 TotalSecs
2023/03/20 09:43:32| Started|2023/03/20 09:43:40| Ended| 8.28 TotalSecs
2023/03/20 14:09:48| Started|2023/03/20 14:11:03| Ended| 75.14 TotalSecs
2023/03/20 20:08:33| Started|2023/03/20 20:10:38| Ended| 124.93 TotalSecs
2023/03/20 20:16:02| Started|2023/03/20 20:16:15| Ended| 13.23 TotalSecs
2023/03/21 09:06:52| Started|2023/03/21 09:07:50| Ended| 57.86 TotalSecs
2023/03/21 09:28:38| Started|2023/03/21 09:29:41| Ended| 63.22 TotalSecs
2023/03/21 09:44:22| Started|2023/03/21 09:45:27| Ended| 64.98 TotalSecs
2023/03/21 11:06:03| Started|2023/03/21 11:08:14| Ended| 130.83 TotalSecs
2023/03/21 17:06:58| Started|2023/03/21 17:09:21| Ended| 143.15 TotalSecs
2023/03/21 17:26:26| Started|2023/03/21 17:30:41| Ended| 254.69 TotalSecs
2023/03/21 17:30:58| Started|2023/03/21 17:34:35| Ended| 217.19 TotalSecs
2023/03/22 09:59:32| Started|2023/03/22 10:00:45| Ended| 73.24 TotalSecs
2023/03/22 14:40:41| Started|2023/03/22 14:42:15| Ended| 93.88 TotalSecs
2023/03/23 11:08:58| Started|2023/03/23 11:09:55| Ended| 57.61 TotalSecs
2023/03/23 14:05:20| Started|2023/03/23 14:06:13| Ended| 52.88 TotalSecs
2023/03/23 17:31:38| Started|2023/03/23 17:33:48| Ended| 129.37 TotalSecs
2023/03/23 21:32:47| Started|2023/03/23 21:33:44| Ended| 56.69 TotalSecs
2023/03/24 11:41:55| Started|2023/03/24 11:43:35| Ended| 100.12 TotalSecs
2023/03/24 17:36:08| Started|2023/03/24 17:37:08| Ended| 60.66 TotalSecs
2023/03/25 13:38:06| Started|2023/03/25 13:40:17| Ended| 130.72 TotalSecs
2023/03/25 16:52:42| Started|2023/03/25 16:53:36| Ended| 54.11 TotalSecs
2023/03/26 11:23:43| Started|2023/03/26 11:24:49| Ended| 65.64 TotalSecs
2023/03/26 21:09:19| Started|2023/03/26 21:10:40| Ended| 81.18 TotalSecs
2023/03/27 09:21:51| Started|2023/03/27 09:23:36| Ended| 104.40 TotalSecs
2023/03/27 10:39:56| Started|2023/03/27 10:43:10| Ended| 193.58 TotalSecs
2023/03/27 10:56:20| Started|2023/03/27 10:59:56| Ended| 215.25 TotalSecs
2023/03/28 09:08:36| Started|2023/03/28 09:09:34| Ended| 57.36 TotalSecs
2023/03/28 14:24:22| Started|2023/03/28 14:25:29| Ended| 67.42 TotalSecs
2023/03/28 15:36:48| Started|2023/03/28 15:37:48| Ended| 60.28 TotalSecs
2023/03/28 15:37:49| Started|2023/03/28 15:38:52| Ended| 63.38 TotalSecs
2023/03/29 13:35:43| Started|2023/03/29 13:36:43| Ended| 60.34 TotalSecs
2023/03/29 16:55:27| Started|2023/03/29 16:56:34| Ended| 67.02 TotalSecs
2023/03/29 17:34:00| Started|2023/03/29 17:35:37| Ended| 97.63 TotalSecs
2023/03/30 10:18:39| Started|2023/03/30 10:20:46| Ended| 126.48 TotalSecs
2023/03/30 17:41:55| Started|2023/03/30 17:43:27| Ended| 91.27 TotalSecs
2023/03/30 21:26:37| Started|2023/03/30 21:28:03| Ended| 86.18 TotalSecs
2023/04/01 20:29:13| Started|2023/04/01 20:30:07| Ended| 53.65 TotalSecs
2023/04/01 23:59:32| Started|2023/04/02 00:00:11| Ended| 38.95 TotalSecs
2023/04/02 09:40:18| Started|2023/04/02 09:43:59| Ended| 220.76 TotalSecs
2023/04/02 17:43:09| Started|2023/04/02 17:43:58| Ended| 48.52 TotalSecs
2023/04/03 09:58:05| Started|2023/04/03 10:01:30| Ended| 205.20 TotalSecs
2023/04/03 21:55:05| Started|2023/04/03 21:56:01| Ended| 55.88 TotalSecs
2023/04/04 11:37:18| Started|2023/04/04 11:38:10| Ended| 52.05 TotalSecs
2023/04/05 08:54:07| Started|2023/04/05 08:55:02| Ended| 54.73 TotalSecs
2023/04/05 17:59:30| Started|2023/04/05 18:02:16| Ended| 165.45 TotalSecs
2023/04/06 09:30:45| Started|2023/04/06 09:33:54| Ended| 188.94 TotalSecs
2023/04/06 12:00:49| Started|2023/04/06 12:03:37| Ended| 167.79 TotalSecs
2023/04/06 13:51:52| Started|2023/04/06 13:54:06| Ended| 134.73 TotalSecs
2023/04/06 14:00:33| Started|2023/04/06 14:04:01| Ended| 207.83 TotalSecs
2023/04/06 15:30:22| Started|2023/04/06 15:31:11| Ended| 49.31 TotalSecs
2023/04/06 16:10:35| Started|2023/04/06 16:12:52| Ended| 136.63 TotalSecs | Version 9.0.0 | Hostname CLR0AN001151190
2023/04/06 19:48:00| Started|2023/04/06 19:48:36| Ended| 36.27 TotalSecs | Version 9.0.0 | Hostname AsusVivoBook
2023/04/07 12:51:10| Started|2023/04/07 12:52:11| Ended| 61.13 TotalSecs | Version 9.0.0 | Hostname AsusVivoBook
2023/04/08 22:45:05| Started|2023/04/08 22:47:10| Ended| 124.95 TotalSecs | Version 9.0.0 | Hostname AsusVivoBook
2023/04/09 11:40:23| Started|2023/04/09 11:41:20| Ended| 56.36 TotalSecs | Version 9.0.0 | Hostname AsusVivoBook
2023/04/09 18:20:55| Started|2023/04/09 18:22:50| Ended| 115.05 TotalSecs | Version 9.0.0 | Hostname AsusVivoBook
2023/04/10 09:25:49| Started|2023/04/10 09:27:52| Ended| 122.36 TotalSecs | Version 9.0.0 | Hostname CLR0AN001151190
2023/04/10 10:02:14| Started|2023/04/10 10:05:09| Ended| 175.38 TotalSecs | Version 9.0.0 | Hostname CLR0AN001151190
2023/04/10 13:55:46| Started|2023/04/10 13:58:46| Ended| 179.82 TotalSecs | Version 9.0.1 | Hostname CLR0AN001151190
2023/04/10 14:00:00| Started|2023/04/10 14:00:10| Ended| 9.64 TotalSecs | Version 9.0.1 | Hostname CLR0AN001151190
2023/04/10 14:59:56| Started|2023/04/10 15:01:47| Ended| 110.94 TotalSecs | Version 9.0.1 | Hostname CLR0AN001151190
2023/04/10 15:03:15| Started|2023/04/10 15:03:22| Ended| 7.61 TotalSecs | Version 9.0.1 | Hostname CLR0AN001151190
2023/04/10 15:24:39| Started|2023/04/10 15:24:45| Ended| 5.93 TotalSecs | Version 9.0.1 | Hostname CLR0AN001151190
2023/04/10 17:55:13| Started|2023/04/10 17:55:23| Ended| 9.70 TotalSecs | Version 9.0.3 | Hostname CLR0AN001151190
2023/04/10 19:52:19| Started|2023/04/10 19:54:15| Ended| 116.39 TotalSecs | Version 9.0.3 | Hostname AsusVivoBook
2023/04/11 08:54:48| Started|2023/04/11 08:55:43| Ended| 54.59 TotalSecs | Version 9.0.3 | Hostname AsusVivoBook
2023/04/11 10:47:31| Started|2023/04/11 10:48:20| Ended| 48.37 TotalSecs | Version 9.0.3 | Hostname AsusVivoBook
2023/04/12 09:15:49| Started|2023/04/12 09:18:59| Ended| 189.40 TotalSecs | Version 9.0.3 | Hostname CLR0AN001151190
2023/04/12 10:59:07| Started|2023/04/12 11:02:05| Ended| 178.17 TotalSecs | Version 9.0.3 | Hostname CLR0AN001151190
2023/04/12 13:35:57| Started|2023/04/12 13:37:00| Ended| 62.75 TotalSecs | Version 9.0.3 | Hostname CLR0AN001151190
2023/04/12 15:20:44| Started|2023/04/12 15:20:52| Ended| 8.37 TotalSecs | Version 9.0.3 | Hostname CLR0AN001151190
2023/04/12 15:22:49| Started|2023/04/12 15:22:58| Ended| 8.42 TotalSecs | Version 9.0.3 | Hostname CLR0AN001151190
2023/04/12 15:25:46| Started|2023/04/12 15:26:28| Ended| 42.40 TotalSecs | Version 9.0.3 | Hostname CLR0AN001151190
2023/04/12 15:27:47| Started|2023/04/12 15:27:54| Ended| 7.31 TotalSecs | Version 9.0.3 | Hostname CLR0AN001151190
2023/04/12 15:30:28| Started|2023/04/12 15:30:38| Ended| 10.06 TotalSecs | Version 9.0.3 | Hostname CLR0AN001151190
2023/04/12 15:32:50| Started|2023/04/12 15:33:06| Ended| 15.48 TotalSecs | Version 9.0.3 | Hostname CLR0AN001151190
2023/04/12 15:33:48| Started|2023/04/12 15:34:02| Ended| 14.03 TotalSecs | Version 9.0.3 | Hostname CLR0AN001151190
2023/04/12 15:47:13| Started|2023/04/12 15:47:26| Ended| 12.42 TotalSecs | Version 9.0.3 | Hostname CLR0AN001151190
2023/04/12 15:48:07| Started|2023/04/12 15:48:21| Ended| 14.07 TotalSecs | Version 9.0.3 | Hostname CLR0AN001151190
2023/04/12 16:47:20| Started|2023/04/12 16:50:55| Ended| 214.79 TotalSecs | Version 9.0.4 | Hostname CLR0AN001151190
2023/04/12 19:50:55| Started|2023/04/12 19:51:05| Ended| 10.15 TotalSecs | Version 9.0.4 | Hostname AsusVivoBook
2023/04/12 19:51:44| Started|2023/04/12 19:53:23| Ended| 98.22 TotalSecs | Version 9.0.4 | Hostname AsusVivoBook
2023/04/13 09:33:09| Started|2023/04/13 09:34:17| Ended| 68.14 TotalSecs | Version 9.0.4 | Hostname AsusVivoBook
2023/04/13 09:34:43| Started|2023/04/13 09:35:50| Ended| 66.41 TotalSecs | Version 9.0.4 | Hostname AsusVivoBook
